DATE,Population,ratio of new houses for sale to new houses sold,Mortgage Rate Monthly,target,Housing unit started,Personal Saving Rate,Unemployment Rate,GDP,Personal Income,boxcox_personal_saving_rate,boxcox_Unemployment Rate
2000-01-01,281083.0,4.3,8.21,100.551,1636.0,4.5,4.0,10002.179,8348.0,1.3327452112578637,0.8103066773965022
2000-02-01,281299.0,4.3,8.325,101.339,1737.0,4.0,4.1,10002.179,8408.8,1.2398407194364052,0.81773406476717
2000-03-01,281531.0,4.3,8.24,102.127,1604.0,3.8,4.0,10002.179,8468.3,1.1988167863554324,0.8103066773965022
2000-04-01,281763.0,4.4,8.1525,102.922,1626.0,4.3,3.8,10247.72,8506.8,1.2970983075847966,0.7943651755089536
2000-05-01,281996.0,4.4,8.515,103.678,1575.0,4.3,4.0,10247.72,8544.5,1.2970983075847966,0.8103066773965022
2000-06-01,282247.0,4.8,8.288,104.424,1559.0,4.3,4.0,10247.72,8597.8,1.2970983075847966,0.8103066773965022
2000-07-01,282504.0,4.1,8.1475,105.054,1463.0,4.7,4.0,10318.165,8665.3,1.36659366937049,0.8103066773965022
2000-08-01,282769.0,4.4,8.0275,105.768,1541.0,4.8,4.1,10318.165,8712.2,1.3828948469397533,0.81773406476717
2000-09-01,283033.0,4.0,7.912,106.538,1507.0,4.1,3.9,10318.165,8757.7,1.2594667996977635,0.8025258941041051
2000-10-01,283285.0,4.0,7.795,107.382,1549.0,4.3,3.9,10435.744,8792.1,1.2970983075847966,0.8025258941041051
2000-11-01,283523.0,4.2,7.745,108.302,1551.0,4.3,3.9,10435.744,8809.9,1.2970983075847966,0.8025258941041051
2000-12-01,283748.0,3.6,7.382,109.14,1532.0,4.1,3.9,10435.744,8844.0,1.2594667996977635,0.8025258941041051
2001-01-01,283960.0,3.8,7.0325,109.846,1600.0,4.5,4.2,10470.231,8940.9,1.3327452112578637,0.8248321529863719
2001-02-01,284166.0,3.7,7.05,110.5,1625.0,4.6,4.2,10470.231,8975.8,1.349883619167903,0.8248321529863719
2001-03-01,284380.0,3.8,6.952,111.109,1590.0,4.9,4.3,10470.231,9009.4,1.3988053677095864,0.8316228726896582
2001-04-01,284602.0,3.9,7.0775,111.652,1649.0,4.8,4.4,10599.0,9008.9,1.3828948469397533,0.8381262279782341
2001-05-01,284834.0,4.0,7.145,112.164,1605.0,4.3,4.3,10599.0,9011.1,1.2970983075847966,0.8316228726896582
2001-06-01,285076.0,4.2,7.16,112.796,1636.0,4.2,4.5,10599.0,9017.1,1.2785433515098796,0.8443605047733673
2001-07-01,285324.0,4.2,7.1275,113.491,1670.0,5.4,4.6,10598.02,9014.6,1.4730593911467025,0.8503424525912191
2001-08-01,285584.0,4.4,6.95,114.167,1567.0,6.5,4.9,10598.02,9001.4,1.6115022570871058,0.8669219785475897
2001-09-01,285842.0,4.4,6.8175,114.812,1562.0,6.9,5.0,10598.02,8975.3,1.6552054284278646,0.8720365555917176
2001-10-01,286086.0,4.3,6.6175,115.31,1540.0,2.9,5.3,10660.465,8987.3,0.9768401577318729,0.8863005336170197
2001-11-01,286315.0,4.1,6.658,115.857,1602.0,3.4,5.5,10660.465,8985.1,1.1086636648128732,0.8950038693823464
2001-12-01,286533.0,3.8,7.065,116.455,1568.0,3.7,5.7,10660.465,8990.7,1.1773508487602597,0.9031380887884909
2002-01-01,286739.0,4.2,6.9975,117.144,1698.0,5.6,5.7,10783.5,9015.6,1.5005488400987526,0.9031380887884909
2002-02-01,286935.0,4.0,6.8925,117.845,1829.0,5.4,5.7,10783.5,9031.9,1.4730593911467025,0.9031380887884909
2002-03-01,287131.0,4.1,7.014,118.687,1642.0,5.5,5.7,10783.5,9050.7,1.4869495910282537,0.9031380887884909
2002-04-01,287343.0,4.3,6.985,119.611,1592.0,5.4,5.9,10887.46,9099.9,1.4730593911467025,0.9107584819677461
2002-05-01,287571.0,4.0,6.806,120.724,1764.0,6.1,5.8,10887.46,9131.0,1.5645498282552457,0.9070093457089069
2002-06-01,287808.0,4.2,6.65,121.813,1717.0,6.1,5.8,10887.46,9164.8,1.5645498282552457,0.9070093457089069
2002-07-01,288051.0,4.2,6.485,122.888,1655.0,5.3,5.8,10984.04,9157.5,1.4588664518770966,0.9070093457089069
2002-08-01,288303.0,4.0,6.29,123.83,1633.0,5.2,5.7,10984.04,9175.3,1.4443582729553732,0.9031380887884909
2002-09-01,288554.0,3.9,6.0925,124.78,1804.0,5.8,5.7,10984.04,9197.1,1.5269183912795201,0.9031380887884909
2002-10-01,288794.0,4.0,6.1125,125.735,1648.0,5.6,5.7,11061.433,9229.6,1.5005488400987526,0.9031380887884909
